FARGO07012
BOCHI07015
BOMBA07016
VCHIA07034
FCUXT07037
EBURR07040
FCHAY07055
HUIXT07077
IGNLR07078
ZAPAL07099
LFLOR07102
SFRAN07145
SJERO07146
TONAL07168
LACAN07337
AAZUL07004
GUACAXXXXX
DPATR27011
SPEDR27040
TBRAZ27050
SMAGA27XXX
HUIMA27XXX
JONUT27028
AQUES07000
TALIS07000
SUCHIXXXXX
LARRA07207
TAPIL07167
AGRAN07000
EREFU07000
EESCA07186
SCATA07000
PPORT07000
SITAL07000
CANCU07000
0000000G01
0000000G02
0000000G03
0000000G04
0000000G05
0000000G07
0000000G08
0000000G09
0000000G14
0000000G20
0000000G21
000000GR01
000000GR02
000000GR03
000000GR04
000000GR05
000000GR06
000000GR07
000000GR08
000000GR09
000000OXOL
0MEZCALAPA
PSOLI27106
2ESCO27108
3ESCO27107
LIDOL27111
TECOL27112
SCIPR27103
OXIAC27114
LESCA07091
MOTOZ07119
LENCR07XXX
VFLOR07XXX
YAXCH07XXX
OCOSI07122
PCATA07409
PHUIT07410
RMACA27042
SJULI27102
TAPJU00047
LLAGA27100
LLUPI27101
LAGAV27103
0000000G12
0000000G13
ZANAP27117
TEPET27116
TASAJ27115
GONZA27118
PTONA27120
GILPE27119
00000MANGO
0000000G10
